subject_name,absolute_course_url,course_name
Computer Science,https://www.class-central.com/course/coursera-the-fundamentals-of-computing-capstone-exam-5954,The Fundamentals of Computing Capstone Exam
Computer Science,https://www.class-central.com/course/coursera-matrix-factorization-and-advanced-techniques-6933,Matrix Factorization and Advanced Techniques
Computer Science,https://www.class-central.com/course/coursera-cybersecurity-and-mobility-6584,Cybersecurity and Mobility
Computer Science,https://www.class-central.com/course/coursera-introduction-to-architecting-smart-iot-devices-6748,Introduction to Architecting Smart IoT Devices
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-7784,Google Cloud Platform Fundamentals: Core Infrastructure
Computer Science,https://www.class-central.com/course/coursera-essential-cloud-infrastructure-core-services-8763,Essential Cloud Infrastructure: Core Services
Computer Science,https://www.class-central.com/course/coursera-cybersecurity-policy-for-aviation-and-internet-infrastructures-8819,Cybersecurity Policy for Aviation and Internet Infrastructures
Computer Science,https://www.class-central.com/course/coursera-homeland-security-and-cybersecurity-future-8821,Homeland Security and Cybersecurity Future
Computer Science,https://www.class-central.com/course/coursera----9987,Менеджмент информационной безопасности
Computer Science,https://www.class-central.com/course/coursera-feature-engineering-11074,Feature Engineering
Computer Science,https://www.class-central.com/course/coursera-overview-of-advanced-methods-of-reinforcement-learning-in-finance-11240,Overview of Advanced Methods of Reinforcement Learning in Finance
Computer Science,https://www.class-central.com/course/coursera-capstone-autonomous-runway-detection-for-iot-9141,Capstone:  Autonomous Runway Detection for IoT
Computer Science,https://www.class-central.com/course/coursera-on-premises-management-security-and-upgrade-with-google-cloud-s-apigee-api-platform-10747,"On Premises Management, Security, and Upgrade with Google Cloud's Apigee API Platform"
Computer Science,https://www.class-central.com/course/coursera-an-introduction-to-practical-deep-learning-10449,An Introduction to Practical Deep Learning
Computer Science,https://www.class-central.com/course/coursera-mathematics-for-machine-learning-pca-10451,Mathematics for Machine Learning: PCA
Computer Science,https://www.class-central.com/course/coursera-palo-alto-networks-academy-cybersecurity-foundation-12008,Palo Alto Networks Academy Cybersecurity Foundation
Computer Science,https://www.class-central.com/course/coursera--2761,数据结构基础
Computer Science,https://www.class-central.com/course/coursera--4306,算法基础
Computer Science,https://www.class-central.com/course/coursera-internet-of-things-communication-technologies-4173,Internet of Things: Communication Technologies
Computer Science,https://www.class-central.com/course/coursera-cloud-computing-project-5342,Cloud Computing Project
Computer Science,https://www.class-central.com/course/coursera-cybersecurity-and-the-x-factor-6585,Cybersecurity and the X-Factor
Computer Science,https://www.class-central.com/course/coursera-nearest-neighbor-collaborative-filtering-6927,Nearest Neighbor Collaborative Filtering
Computer Science,https://www.class-central.com/course/coursera-building-arduino-robots-and-devices-7785,Building Arduino robots and devices
Computer Science,https://www.class-central.com/course/coursera-testing-with-agile-6523,Testing with Agile
Computer Science,https://www.class-central.com/course/edx-animation-and-cgi-motion-7242,Animation and CGI Motion
Computer Science,https://www.class-central.com/course/coursera-addressing-large-hadron-collider-challenges-by-machine-learning-9609,Addressing Large Hadron Collider Challenges by Machine Learning
Computer Science,https://www.class-central.com/course/coursera-enterprise-system-management-and-security-9318,Enterprise System Management and Security 
